popn body surface
equake 5.60 4.25
equake 5.18 3.93
equake 6.31 6.30
equake 5.36 4.49
equake 5.96 6.39
equake 5.26 4.42
equake 5.17 5.10
equake 4.75 4.40
equake 5.35 5.49
equake 5.01 4.48
equake 5.27 4.41
equake 5.27 4.69
equake 4.98 3.66
equake 5.22 3.99
equake 5.06 4.58
equake 5.09 4.90
equake 5.15 4.82
equake 4.56 4.08
equake 5.00 4.94
equake 5.43 5.48
explosn 6.04 4.33
explosn 5.97 4.39
explosn 5.84 4.35
explosn 5.79 4.14
explosn 5.87 3.90
explosn 6.51 4.49
explosn 5.74 4.22
explosn 5.98 4.08
explosn 6.07 4.30
